"word","doc","freq","IES"
96,1,1,1
208,1,1,1
227,1,2,1
233,1,1,1
345,1,8,1
396,1,1,1
399,1,1,1
449,1,4,1
473,1,1,1
546,1,1,1
660,1,1,1
737,1,2,1
789,1,1,1
917,1,1,1
940,1,1,1
1009,1,1,1
1033,1,3,1
1121,1,1,1
1133,1,1,1
1144,1,1,1
1211,1,1,1
1276,1,1,1
1447,1,3,1
1504,1,1,1
1505,1,1,1
1531,1,1,1
1535,1,1,1
1541,1,1,1
1621,1,3,1
1657,1,1,1
1722,1,1,1
1815,1,1,1
1827,1,1,1
1855,1,1,1
1905,1,1,1
1942,1,1,1
2039,1,12,1
2042,1,2,1
2100,1,1,1
2200,1,1,1
2241,1,1,1
2334,1,3,1
2458,1,1,1
2494,1,1,1
2497,1,2,1
2537,1,1,1
2578,1,2,1
2635,1,3,1
2749,1,1,1
2771,1,1,1
2787,1,7,1
2812,1,3,1
2846,1,1,1
2877,1,1,1
2992,1,1,1
3005,1,1,1
3061,1,2,1
3077,1,1,1
3082,1,1,1
3130,1,1,1
3141,1,1,1
3143,1,2,1
3273,1,1,1
3308,1,1,1
3312,1,1,1
3314,1,2,1
3330,1,1,1
3502,1,1,1
3515,1,1,1
3548,1,1,1
3674,1,2,1
3686,1,1,1
3741,1,1,1
3827,1,7,1
4010,1,1,1
4051,1,1,1
4065,1,1,1
4093,1,1,1
4114,1,1,1
4129,1,1,1
4157,1,2,1
4190,1,1,1
4200,1,1,1
4204,1,2,1
4223,1,1,1
4247,1,1,1
4253,1,1,1
4408,1,2,1
4431,1,1,1
4441,1,3,1
4463,1,1,1
4500,1,1,1
4505,1,2,1
4512,1,1,1
4525,1,1,1
4570,1,3,1
4630,1,1,1
4748,1,1,1
4760,1,1,1
4959,1,1,1
4999,1,1,1
5014,1,1,1
5102,1,1,1
5134,1,1,1
5137,1,1,1
5175,1,1,1
5335,1,7,1
5382,1,1,1
5389,1,1,1
5392,1,1,1
5401,1,1,1
5574,1,2,1
5617,1,1,1
5630,1,3,1
5660,1,1,1
5701,1,1,1
5821,1,2,1
5868,1,1,1
30,2,3,1
39,2,2,1
44,2,1,1
46,2,1,1
65,2,2,1
70,2,2,1
72,2,1,1
74,2,2,1
96,2,1,1
103,2,1,1
111,2,5,1
172,2,2,1
180,2,1,1
208,2,1,1
216,2,1,1
227,2,2,1
238,2,1,1
284,2,1,1
367,2,4,1
477,2,2,1
498,2,1,1
535,2,1,1
656,2,2,1
657,2,1,1
676,2,1,1
737,2,1,1
739,2,1,1
858,2,1,1
917,2,1,1
937,2,1,1
1015,2,1,1
1055,2,6,1
1058,2,1,1
1066,2,1,1
1090,2,1,1
1113,2,1,1
1215,2,1,1
1216,2,2,1
1265,2,1,1
1452,2,1,1
